vin,fleet,positionid,vehicleid,gtpdriverid,version,heading,latitude,longitude,altitude,address,updateddate,total_fuel_consumption,total_engine_hours,total_distance,time_sweetspot,time_idle,time_pto,time_drive,speed,msg_trigger_type,current_fuel_level,received_date
MC2M7SRC0HK051716,Syndicate_Carrier,1249366856,12275,,0,0,17.378147,78.488674,495,,01/09/2019 0:10,42776.78,4581.9,152410.62,2066.85,587.04,0.04,3993.9,0,PERIODIC,40,10:57.4
MC2M7SRC0HK051716,Syndicate_Carrier,1249366857,12275,,0,0,17.378147,78.488674,495,,01/09/2019 0:10,42776.78,4581.9,152410.62,2066.85,587.04,0.04,3993.9,0,IGNITION_ON,40,10:57.4
MC2M7SRC0HK051716,Syndicate_Carrier,1249370117,12275,,0,0,17.378084,78.488539,496,,01/09/2019 0:15,42776.95,4581.95,152410.63,2066.85,587.12,0.04,3993.9,0,PERIODIC,40.400002,15:16.2
MC2M7SRC0HK051716,Syndicate_Carrier,1249374047,12275,,0,0,17.378076,78.488542,494,,01/09/2019 0:20,42777.09,4582.05,152410.63,2066.85,587.2,0.04,3993.9,0,PERIODIC,40.400002,20:16.3
MC2M7SRC0HK051716,Syndicate_Carrier,1249378224,12275,,0,0,17.378079,78.488545,494,,01/09/2019 0:25,42777.22,4582.15,152410.63,2066.85,587.28,0.04,3993.9,0,PERIODIC,40.400002,25:15.9
MC2M7SRC0HK051716,Syndicate_Carrier,1249382811,12275,,0,225,17.378078,78.488561,494,,01/09/2019 0:30,42777.35,4582.2,152410.63,2066.85,587.37,0.04,3993.9,1,PERIODIC,36.799999,30:16.1
MC2M7SRC0HK051716,Syndicate_Carrier,1249386866,12275,,0,0,17.377852,78.488458,490,,01/09/2019 0:35,42777.48,4582.3,152410.66,2066.85,587.44,0.04,3993.9,0,PERIODIC,40.400002,35:16.1
MC2M7SRC0HK051716,Syndicate_Carrier,1249391042,12275,,0,0,17.377855,78.488462,489,,01/09/2019 0:40,42777.59,4582.4,152410.66,2066.85,587.53,0.04,3993.9,0,PERIODIC,40.400002,40:16.3
MC2M7SRC0HK051716,Syndicate_Carrier,1249392732,12275,,0,0,17.377885,78.488467,490,,01/09/2019 0:42,42777.63,4582.4,152410.67,2066.85,587.55,0.04,3993.9,0,IGNITION_OFF,35.599998,42:17.0
MC2M7SRC0HK051716,Syndicate_Carrier,1249395211,12275,,0,0,17.377941,78.488458,490,,01/09/2019 0:45,42777.63,4582.4,152410.67,2066.85,587.55,0.04,3993.9,0,PERIODIC,35.599998,45:16.1
MC2M7SRC0HK051716,Syndicate_Carrier,1249396976,12275,,0,0,17.377941,78.488472,488,,01/09/2019 0:47,42777.63,4582.4,152410.67,2066.85,587.55,0.04,3993.9,0,IGNITION_ON,35.599998,47:23.4
